,values
1121,Perfecto 🤩
1122,"Relaxing, comfortable and serene"
1123,Good
1124,"Fantastic location, amazing host and the Villa has a cozy feel to it!"
1125,Wonderful
1126,Very Good
1127,A home away from home plus benefits
1128,Good
1129,Exceptional
1130,Exceptional
1131,I would love to still stay there but they need a swimming pool at least. Also undust everywhere pls.
1132,EVERYTHING WAS GREAT.
1133,Exceptional
1134,I enjoyed and the hosts was friendly plus the caretakers
1135,Serene
1136,Perfect Place to stay
1137,Pleasant
1138,Fair
1139,"My stay was Good, I enjoyed relaxing in a serene environment away from the busy city."
1140,werde sicher das nächste mal wieder kommen!
1141,Wonderful
1142,Bardzo udany pobyt
1143,Exceptional
1144,Ein tolles Apartment in der Nähe eines Traumstrandes
1145,Nikdo nás nečekal. Nádobí špinavé.
1146,"Ubytování nás evidentně nečekali. Lednička špinavá, nádobí špinavé."
1147,Very Good
1148,Very Good
1149,Wonderful
1150,Exceptional
1151,Good
1152,Exceptional
1153,Wonderful
1154,Good
1155,Exceptional
1156,Wonderful
1157,Wonderful
1158,Very Good
1159,
1160,Wonderful
1161,Good
1162,Not as pleasant as I wanted it to be
1163,we really enjoyed out stay
1164,Ineed to be there time and again.
1165,Exceptional
1166,A practical stay in a decent location
1167,Cozy appartments in Diani
1168,Fantastic
1169,Super
1170,Peccato per la gestione
1171,Sympathique malgré tout
1172,безлопастное место с красивым бассейном очень классный персонал
1173,"amazing stay at Diani paradise villas. staff were exceptional, place clean and well-kept. great location, walking distan"
1174,Wonderful
1175,Very Good
1176,Very Good
1177,Good
1178,Fair
1179,Bad
1180,Exceptional
1181,Exceptional
1182,Exceptional
1183,Very Good
1184,Wonderful
1185,Very Good
1186,Exceptional
1187,Value For Money.
1188,Good value for low budget
1189,Very Good
1190,Very Good
1191,Good
1192,It was convenient
1193,Very Good
1194,I added an extra day Overall it was ok and good value for money
1195,Very Good
1196,Good
1197,Good
1198,Good
1199,I enjoyed..I'll be back with friends
1200,Very Good
1201,nice place
1202,you get what you pay for
1203,Very Good
1204,"Dominic was an excellent host, the food was great...."
1205,"Other than the pool issue, our stay was fine."
1206,Good
1207,Good
1208,Very Good
1209,Very good budget but with a few downsides
1210,Very Good
1211,It is a quiet place to rest after a long day
1212,"Overall, I enjoyed and would visit again"
1213,Nice
1214,Our stay was amazing...
1215,Good
1216,Small paradise
1217,Exceptional
1218,Goodtimes
1219,beautiful place but far away from Diani beach
1220,Perfect place!
1221,Amazing stay and very helpfull host
1222,Amazing stay in Diani Hostel! 100% recommend
1223,I regret booking this property.
1224,Terrible
1225,Exceptional
1226,Exceptional
1227,Exceptional
1228,Exceptional
1229,Exceptional
1230,Exceptional
1231,
1232,Amazing
1233,Exceptional
1234,Am really glad I knew this place would love to come back again and i would recommend my friends.
1235,A very hospitable host and a lovely stay
1236,Fair
1237,Fair
1238,"Глэмпинг расположен в местной деревне, в 20 минутах ходьбы до пляжа. великолепный персонал и хозяин, очень отзывчивый и"
1239,Diani forever
1240,"milý majitel, pro nejnáročnější cestovatele kdo chce poznat Afriku v cele kráse, ubytování uprostřed džungle, ale bezpeč"
1241,Exceptional
1242,Very Good
1243,Paraíso natural para desconectar lejos de la playa
1244,Wonderful
1245,Very Good
1246,"Die schöne schlichtheit ist einmalig, back to the roots."
1247,Wonderful
1248,"Недорогой, но очень хороший вариант для отдыха"
1249,Idéal pour les amoureux de la nature
1250,Exceptional
1251,Wonderful
1252,Wonderful
1253,Wonderful
1254,Very Good
1255,Exceptional
1256,Very Good
1257,Very Good
1258,Exceptional
1259,Good
1260,Poor
1261,Very Good
1262,es war einfach nur perfekt
1263,Wonderful
1264,Super Lage und freundliches Personal.
1265,Wonderful
1266,Very Good
1267,Good
1268,Very Good
1269,Wonderful
1270,Wonderful
1271,
1272,
1273,
1274,Exceptional
1275,Wonderful
1276,Exceptional
1277,Pendo Villa
1278,"Nice place, great staff but bad owners."
1279,Zalige vakantie
1280,Juiste plek voor een heerlijke vakantie.
1281,séjour agréable
1282,Very Good
1283,Exceptional
1284,Wonderful
1285,Very Good
1286,Exceptional
1287,Exceptional
1288,Good
1289,Wonderful
1290,Exceptional
1291,Wonderful
1292,Wonderful
1293,Exceptional
1294,Exceptional
1295,Fair
1296,Exceptional
1297,Wonderful
1298,Very Good
1299,"Znakomity pobyt , przepiękna plaża."
1300,Good
1301,Very Good
1302,Wonderful
1303,"insgesamt schön, weil auch Strand in Küste sehrcschö"
1304,Wonderful
1305,Immense villa
1306,Exceptional
1307,Very Good
1308,Wonderful
1309,Very Good
1310,Wonderful
1311,Fair
1312,
1313,
1314,
1315,
1316,
1317,
1318,
1319,
1320,
1321,
1322,
1323,
1324,
1325,
1326,
1327,
1328,
1329,
1330,
1331,
1332,
1333,
1334,
1335,
1336,
1337,
1338,
1339,Wonderful
1340,Unglaubliches Preis-Leistungs-Verhältnis
1341,"Tout était parfait, vacances adélique"
1342,Good
1343,Very Good
1344,Exceptional
1345,Exceptional
1346,Exceptional
1347,PERFECTA
1348,Exceptional
1349,Very Good
1350,
1351,
1352,
1353,
1354,
1355,
1356,
1357,
1358,
1359,
1360,
1361,
1362,
1363,
1364,
1365,
1366,
1367,
1368,
1369,
1370,
1371,
1372,
1373,
1374,
1375,
1376,
1377,
1378,
1379,
1380,
1381,
1382,
1383,
1384,
1385,
1386,
1387,
1388,
1389,
1390,
1391,
1392,
1393,
1394,
1395,
1396,
1397,
1398,
1399,
1400,
1401,
1402,
1403,
1404,
1405,
1406,
1407,
1408,
1409,
1410,
1411,
1412,
1413,
1414,
1415,
1416,
1417,
1418,
1419,
1420,
1421,
1422,
1423,
1424,
1425,
1426,
1427,
1428,
1429,
1430,
1431,
1432,
1433,
1434,
1435,
1436,
1437,
